error_min,error_max,true
,,
33000.0,94000.0,63000.0
40000.0,105000.0,72000.0
41000.0,109000.0,75000.0
42000.0,112000.0,77000.0
42000.0,114000.0,78000.0
43000.0,115000.0,79000.0
43000.0,116000.0,80000.0
43000.0,118000.0,80000.0
43000.0,118000.0,81000.0
43000.0,119000.0,81000.0
43000.0,120000.0,82000.0
43000.0,121000.0,82000.0
43000.0,121000.0,82000.0
43000.0,122000.0,82000.0
43000.0,122000.0,83000.0
43000.0,123000.0,83000.0
43000.0,123000.0,83000.0
43000.0,123000.0,83000.0
43000.0,124000.0,83000.0
43000.0,124000.0,83000.0
42000.0,124000.0,83000.0
42000.0,125000.0,83000.0
42000.0,125000.0,84000.0
42000.0,125000.0,84000.0
42000.0,125000.0,84000.0
42000.0,125000.0,84000.0
42000.0,126000.0,84000.0
41000.0,126000.0,84000.0
41000.0,126000.0,84000.0
41000.0,126000.0,84000.0
41000.0,126000.0,84000.0
41000.0,126000.0,84000.0
41000.0,127000.0,84000.0
40000.0,127000.0,84000.0
40000.0,127000.0,84000.0
40000.0,127000.0,83000.0
40000.0,127000.0,83000.0
40000.0,127000.0,83000.0
40000.0,127000.0,83000.0
40000.0,127000.0,83000.0
39000.0,127000.0,83000.0
39000.0,127000.0,83000.0
39000.0,127000.0,83000.0
39000.0,127000.0,83000.0
39000.0,127000.0,83000.0
39000.0,127000.0,83000.0
39000.0,127000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
38000.0,128000.0,83000.0
37000.0,128000.0,83000.0
37000.0,128000.0,83000.0
37000.0,128000.0,83000.0
37000.0,128000.0,82000.0
37000.0,128000.0,82000.0
37000.0,128000.0,82000.0
37000.0,128000.0,82000.0
37000.0,128000.0,82000.0
37000.0,128000.0,82000.0
37000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,128000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,82000.0
36000.0,129000.0,83000.0
36000.0,129000.0,83000.0
36000.0,129000.0,83000.0
36000.0,130000.0,83000.0
36000.0,130000.0,83000.0
36000.0,130000.0,83000.0
36000.0,130000.0,83000.0
36000.0,130000.0,83000.0
36000.0,131000.0,83000.0
36000.0,131000.0,84000.0
36000.0,131000.0,84000.0
36000.0,131000.0,84000.0
37000.0,132000.0,84000.0
37000.0,132000.0,85000.0
37000.0,133000.0,85000.0
37000.0,133000.0,85000.0
38000.0,134000.0,86000.0
38000.0,135000.0,87000.0
39000.0,136000.0,88000.0
40000.0,139000.0,89000.0
